Set,Run #1,Run #1,Run #1,Run #1,Run #1
Internal Pressure P1 (kPa),Time (s),Internal Pressure P0 (kPa),Ambient Pressure (kPa),Differential Pressure₁₋₂ (kPa),Calc1 (units)
,91.8,114.73,99.9,14.83,114.73
,92,114.73,99.9,14.84,114.73
,92.2,114.73,99.9,14.83,114.73
,92.4,114.73,99.9,14.84,114.73
,92.6,114.73,99.9,14.84,114.73
,92.8,114.73,99.9,14.84,114.73
,93,114.73,99.9,14.84,114.73
,93.2,114.73,99.9,14.84,114.73
,93.4,114.73,99.9,14.83,114.73
,93.6,114.73,99.9,14.84,114.73
,93.8,114.73,99.9,14.83,114.73
,94,114.73,99.9,14.83,114.73
,94.2,114.73,99.9,14.83,114.73
,94.4,114.73,99.9,14.83,114.73
,94.6,114.73,99.9,14.83,114.73
,94.8,114.73,99.9,14.83,114.73
,95,114.73,99.9,14.83,114.73
,95.2,114.73,99.9,14.83,114.73
,95.4,114.73,99.9,14.83,114.73
,95.6,114.73,99.9,14.84,114.73
,95.8,114.73,99.9,14.83,114.73
,96,114.73,99.9,14.83,114.73
,96.2,114.73,99.9,14.83,114.73
,96.4,114.73,99.9,14.83,114.73
,96.6,114.73,99.9,14.84,114.73
,96.8,114.73,99.9,14.83,114.73
,97,114.73,99.9,14.83,114.73
,97.2,114.73,99.9,14.83,114.73
,97.4,114.73,99.9,14.83,114.73
,97.6,114.73,99.9,14.84,114.73
,97.8,114.74,99.9,14.84,114.74
,98,114.73,99.9,14.83,114.73
,98.2,114.73,99.9,14.83,114.73
,98.4,114.73,99.9,14.83,114.73
,98.6,114.73,99.9,14.83,114.73
,98.8,114.73,99.9,14.83,114.73
,99,114.73,99.9,14.83,114.73
,99.2,114.73,99.9,14.83,114.73
,99.4,114.73,99.9,14.84,114.73
,99.6,114.74,99.9,14.84,114.74
,99.8,114.73,99.9,14.83,114.73
,100,114.74,99.9,14.84,114.74
,100.2,114.73,99.9,14.83,114.73
,100.4,114.73,99.9,14.83,114.73
,100.6,114.73,99.9,14.83,114.73
,100.8,114.73,99.9,14.83,114.73
,101,114.73,99.9,14.83,114.73
,101.2,114.73,99.9,14.83,114.73
,101.4,114.73,99.9,14.83,114.73
,101.6,114.73,99.9,14.83,114.73
,101.8,114.73,99.9,14.83,114.73
,102,114.73,99.9,14.83,114.73
,102.2,114.73,99.9,14.83,114.73
,102.4,114.73,99.9,14.83,114.73
,102.6,114.73,99.9,14.83,114.73
,102.8,114.73,99.9,14.83,114.73
,103,114.73,99.9,14.83,114.73
,103.2,114.73,99.9,14.83,114.73
,103.4,114.73,99.9,14.83,114.73
,103.6,114.73,99.9,14.83,114.73
,103.8,114.73,99.9,14.83,114.73
,104,114.73,99.9,14.83,114.73
,104.2,114.73,99.9,14.83,114.73
,104.4,114.73,99.9,14.83,114.73
,104.6,114.73,99.9,14.83,114.73
,104.8,114.73,99.9,14.83,114.73
,105,114.73,99.9,14.84,114.73
,105.2,114.73,99.9,14.83,114.73
,105.4,114.73,99.9,14.83,114.73
,105.6,114.73,99.9,14.83,114.73
,105.8,114.73,99.9,14.83,114.73
,106,114.73,99.9,14.83,114.73
,106.2,114.73,99.9,14.83,114.73
,106.4,114.73,99.9,14.84,114.73
,106.6,114.74,99.9,14.84,114.74
,106.8,114.73,99.9,14.83,114.73
,107,114.73,99.9,14.83,114.73
,107.2,114.73,99.9,14.83,114.73
,107.4,114.73,99.9,14.83,114.73
,107.6,114.73,99.9,14.83,114.73
,107.8,114.73,99.9,14.83,114.73
,108,114.73,99.9,14.83,114.73
,108.2,114.73,99.9,14.83,114.73
,108.4,114.73,99.9,14.83,114.73
,108.6,114.73,99.9,14.83,114.73
,108.8,114.73,99.9,14.83,114.73
,109,114.74,99.9,14.84,114.74
,109.2,114.73,99.9,14.83,114.73
,109.4,114.73,99.9,14.83,114.73
,109.6,114.73,99.9,14.83,114.73
,109.8,114.73,99.9,14.83,114.73
,110,114.73,99.9,14.83,114.73
,110.2,114.73,99.9,14.84,114.73
,110.4,114.73,99.9,14.84,114.73
,110.6,114.73,99.9,14.84,114.73
,110.8,114.73,99.9,14.83,114.73
,111,114.74,99.9,14.84,114.74
,111.2,114.73,99.9,14.83,114.73
,111.4,114.73,99.9,14.84,114.73
,111.6,114.74,99.9,14.84,114.74
,111.8,114.73,99.9,14.84,114.73
,112,114.73,99.9,14.84,114.73
,112.2,114.73,99.9,14.83,114.73
,112.4,114.73,99.9,14.83,114.73
,112.6,114.73,99.9,14.83,114.73
,112.8,114.73,99.9,14.83,114.73
,113,114.73,99.9,14.83,114.73
,113.2,114.73,99.9,14.83,114.73
,113.4,114.73,99.9,14.83,114.73
,113.6,114.73,99.9,14.83,114.73
,113.8,114.73,99.9,14.83,114.73
,114,114.73,99.9,14.83,114.73
,114.2,114.73,99.9,14.83,114.73
,114.4,114.73,99.9,14.83,114.73
,114.6,114.73,99.9,14.83,114.73
,114.8,114.73,99.9,14.83,114.73
,115,114.73,99.9,14.83,114.73
,115.2,114.73,99.9,14.83,114.73
,115.4,114.73,99.9,14.83,114.73
,115.6,114.73,99.9,14.84,114.73
,115.8,114.73,99.9,14.83,114.73
,116,114.73,99.9,14.83,114.73
,116.2,114.73,99.9,14.83,114.73
,116.4,114.73,99.9,14.83,114.73
,116.6,114.73,99.9,14.83,114.73
,116.8,114.73,99.9,14.83,114.73
,117,114.73,99.9,14.83,114.73
,117.2,114.73,99.9,14.83,114.73
,117.4,114.73,99.9,14.83,114.73
,117.6,114.73,99.9,14.83,114.73
,117.8,114.73,99.9,14.83,114.73
,118,114.73,99.9,14.83,114.73
,118.2,114.73,99.9,14.83,114.73
,118.4,114.73,99.9,14.83,114.73
,118.6,114.73,99.9,14.83,114.73
,118.8,114.73,99.9,14.83,114.73
,119,114.73,99.9,14.83,114.73
,119.2,114.73,99.9,14.83,114.73
,119.4,114.73,99.9,14.83,114.73
,119.6,114.73,99.9,14.83,114.73
,119.8,114.73,99.9,14.83,114.73
,120,114.73,99.9,14.83,114.73
,120.2,114.73,99.9,14.83,114.73
,120.4,114.73,99.9,14.83,114.73
,120.6,114.73,99.9,14.83,114.73
,120.8,114.73,99.9,14.83,114.73
,121,114.73,99.9,14.83,114.73
,121.2,114.73,99.9,14.83,114.73
,121.4,114.73,99.9,14.83,114.73
,121.6,114.73,99.9,14.83,114.73
,121.8,114.73,99.9,14.83,114.73
,122,114.73,99.9,14.83,114.73
,122.2,114.73,99.9,14.83,114.73
,122.4,114.73,99.9,14.83,114.73
,122.6,114.73,99.9,14.83,114.73
,122.8,114.73,99.9,14.83,114.73
,123,114.73,99.9,14.83,114.73
,123.2,114.73,99.9,14.83,114.73
,123.4,114.73,99.9,14.83,114.73
,123.6,114.73,99.9,14.83,114.73
,123.8,114.73,99.9,14.83,114.73
,124,114.73,99.9,14.83,114.73
,124.2,114.73,99.9,14.83,114.73
,124.4,114.73,99.9,14.83,114.73
,124.6,114.73,99.9,14.83,114.73
,124.8,114.73,99.9,14.83,114.73
,125,114.73,99.9,14.83,114.73
,125.2,114.73,99.9,14.83,114.73
,125.4,114.73,99.9,14.83,114.73
,125.6,114.73,99.9,14.83,114.73
,125.8,114.73,99.9,14.83,114.73
,126,114.73,99.9,14.83,114.73
,126.2,114.73,99.9,14.83,114.73
,126.4,114.73,99.9,14.83,114.73
,126.6,114.73,99.9,14.83,114.73
,126.8,114.73,99.9,14.83,114.73
,127,114.73,99.9,14.83,114.73
,127.2,114.73,99.9,14.83,114.73
,127.4,114.73,99.9,14.83,114.73
,127.6,114.73,99.9,14.83,114.73
,127.8,114.73,99.9,14.83,114.73
,128,114.73,99.9,14.83,114.73
,128.2,114.73,99.9,14.83,114.73
,128.4,114.73,99.9,14.83,114.73
,128.6,114.73,99.9,14.83,114.73
,128.8,114.73,99.9,14.83,114.73
,129,114.73,99.9,14.83,114.73
,129.2,114.73,99.9,14.83,114.73
,129.4,114.73,99.9,14.83,114.73
,129.6,114.73,99.9,14.83,114.73
,129.8,114.73,99.9,14.83,114.73
,130,114.73,99.9,14.83,114.73
,130.2,114.73,99.9,14.83,114.73
,130.4,114.73,99.9,14.83,114.73
,130.6,114.73,99.9,14.83,114.73
